Eth,Sex,Age,Lrn,Days
A,M,F0,SL,2
A,M,F0,SL,11
A,M,F0,SL,14
A,M,F0,AL,5
A,M,F0,AL,5
A,M,F0,AL,13
A,M,F0,AL,20
A,M,F0,AL,22
A,M,F1,SL,6
A,M,F1,SL,6
A,M,F1,SL,15
A,M,F1,AL,7
A,M,F1,AL,14
A,M,F2,SL,6
A,M,F2,SL,32
A,M,F2,SL,53
A,M,F2,SL,57
A,M,F2,AL,14
A,M,F2,AL,16
A,M,F2,AL,16
A,M,F2,AL,17
A,M,F2,AL,40
A,M,F2,AL,43
A,M,F2,AL,46
A,M,F3,AL,8
A,M,F3,AL,23
A,M,F3,AL,23
A,M,F3,AL,28
A,M,F3,AL,34
A,M,F3,AL,36
A,M,F3,AL,38
A,F,F0,SL,3
A,F,F0,AL,5
A,F,F0,AL,11
A,F,F0,AL,24
A,F,F0,AL,45
A,F,F1,SL,5
A,F,F1,SL,6
A,F,F1,SL,6
A,F,F1,SL,9
A,F,F1,SL,13
A,F,F1,SL,23
A,F,F1,SL,25
A,F,F1,SL,32
A,F,F1,SL,53
A,F,F1,SL,54
A,F,F1,AL,5
A,F,F1,AL,5
A,F,F1,AL,11
A,F,F1,AL,17
A,F,F1,AL,19
A,F,F2,SL,8
A,F,F2,SL,13
A,F,F2,SL,14
A,F,F2,SL,20
A,F,F2,SL,47
A,F,F2,SL,48
A,F,F2,SL,60
A,F,F2,SL,81
A,F,F2,AL,2
A,F,F3,AL,0
A,F,F3,AL,2
A,F,F3,AL,3
A,F,F3,AL,5
A,F,F3,AL,10
A,F,F3,AL,14
A,F,F3,AL,21
A,F,F3,AL,36
A,F,F3,AL,40
N,M,F0,SL,6
N,M,F0,SL,17
N,M,F0,SL,67
N,M,F0,AL,0
N,M,F0,AL,0
N,M,F0,AL,2
N,M,F0,AL,7
N,M,F0,AL,11
N,M,F0,AL,12
N,M,F1,SL,0
N,M,F1,SL,0
N,M,F1,SL,5
N,M,F1,SL,5
N,M,F1,SL,5
N,M,F1,SL,11
N,M,F1,SL,17
N,M,F1,AL,3
N,M,F1,AL,4
N,M,F2,SL,22
N,M,F2,SL,30
N,M,F2,SL,36
N,M,F2,AL,8
N,M,F2,AL,0
N,M,F2,AL,1
N,M,F2,AL,5
N,M,F2,AL,7
N,M,F2,AL,16
N,M,F2,AL,27
N,M,F3,AL,0
N,M,F3,AL,30
N,M,F3,AL,10
N,M,F3,AL,14
N,M,F3,AL,27
N,M,F3,AL,41
N,M,F3,AL,69
N,F,F0,SL,25
N,F,F0,AL,10
N,F,F0,AL,11
N,F,F0,AL,20
N,F,F0,AL,33
N,F,F1,SL,5
N,F,F1,SL,7
N,F,F1,SL,0
N,F,F1,SL,1
N,F,F1,SL,5
N,F,F1,SL,5
N,F,F1,SL,5
N,F,F1,SL,5
N,F,F1,SL,7
N,F,F1,SL,11
N,F,F1,SL,15
N,F,F1,AL,5
N,F,F1,AL,14
N,F,F1,AL,6
N,F,F1,AL,6
N,F,F1,AL,7
N,F,F1,AL,28
N,F,F2,SL,0
N,F,F2,SL,5
N,F,F2,SL,14
N,F,F2,SL,2
N,F,F2,SL,2
N,F,F2,SL,3
N,F,F2,SL,8
N,F,F2,SL,10
N,F,F2,SL,12
N,F,F2,AL,1
N,F,F3,AL,1
N,F,F3,AL,9
N,F,F3,AL,22
N,F,F3,AL,3
N,F,F3,AL,3
N,F,F3,AL,5
N,F,F3,AL,15
N,F,F3,AL,18
N,F,F3,AL,22
N,F,F3,AL,37
